128;"""Уфа (Мега) - Сады """"Нарат""""""";152;"AMOUNT:      13860; AVGDIST:         58";"AMOUNT:       1123; AVGDIST:         18"
48;Уфа ( Мега) - Белебей;530;"AMOUNT:      32709; AVGDIST:        196";"AMOUNT:        450; AVGDIST:         95"
66;Уфа (Мега) - Акъяр;578;"AMOUNT:      11089; AVGDIST:        252";"AMOUNT:      13971; AVGDIST:         97"
23;Уфа (Мега) - Александровка;154;"AMOUNT:       2641; AVGDIST:         45";"AMOUNT:        452; AVGDIST:         12"
68;Уфа (Мега) - Архангельское ч/з Булгаково;582;"AMOUNT:      13691; AVGDIST:         93";"AMOUNT:        484; AVGDIST:         33"
83;Уфа (Мега) - Архангельское ч/з Кабаково;604;"AMOUNT:      10371; AVGDIST:         84";"AMOUNT:        433; AVGDIST:         16"
47;Уфа (Мега) - Белебей ч/з Раевку;530Р;"AMOUNT:      56700; AVGDIST:        199";"AMOUNT:       3034; AVGDIST:         41"
59;Уфа (Мега) - Бижбуляк ч/з Аксеново;560;"AMOUNT:      16188; AVGDIST:        198";"AMOUNT:        128; AVGDIST:         80"
182;Уфа (Мега) - Бузовьязы;129к;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
359;Уфа (Мега) - Бузовьязы;129к;"AMOUNT:        225; AVGDIST:         53";"AMOUNT:          0; AVGDIST:          0"
79;Уфа (Мега) - Валентиновка;592;"AMOUNT:       9494; AVGDIST:        102";"AMOUNT:        807; AVGDIST:         30"
84;Уфа (Мега) - Исянгулово;611;"AMOUNT:      39142; AVGDIST:        160";"AMOUNT:      31365; AVGDIST:        105"
101;Уфа (Мега) - Кандры;737;"AMOUNT:       5802; AVGDIST:        167";"AMOUNT:         87; AVGDIST:         66"
196;Уфа (Мега) - Кармаскалы;253соц;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
195;Уфа (Мега) - Кармаскалы ч/з Шаймуратово;253к;"AMOUNT:       1771; AVGDIST:         44";"AMOUNT:       1529; AVGDIST:         46"
131;Уфа (Мега) - Красноусольск;552;"AMOUNT:          6; AVGDIST:        139";"AMOUNT:          0; AVGDIST:          0"
67;Уфа (Мега) - Мелеуз;581;"AMOUNT:       2945; AVGDIST:        198";"AMOUNT:          0; AVGDIST:          0"
82;Уфа (Мега) - Мраково;601;"AMOUNT:       1412; AVGDIST:        196";"AMOUNT:       5480; AVGDIST:         45"
152;Уфа (Мега) - Октябрьский через Серафимовку;600 С;"AMOUNT:      10407; AVGDIST:        164";"AMOUNT:         69; AVGDIST:         62"
81;Уфа (Мега) - Октябрьский через Туймазы;600 Т;"AMOUNT:     134475; AVGDIST:        185";"AMOUNT:      39545; AVGDIST:         65"
136;Уфа (Мега) - Октябрьский экспресс;600;"AMOUNT:      42845; AVGDIST:        179";"AMOUNT:       3978; AVGDIST:         73"
103;Уфа (Мега) - Саит-Баба;741;"AMOUNT:      16120; AVGDIST:        116";"AMOUNT:        787; AVGDIST:         17"
132;Уфа (Мега) - сан. Красноусольск;552С;"AMOUNT:      11685; AVGDIST:        139";"AMOUNT:        252; AVGDIST:         52"
109;Уфа (Мега) - Сибай;798;"AMOUNT:       4048; AVGDIST:        204";"AMOUNT:       7239; AVGDIST:        147"
49;Уфа (Мега) - Стерлитамак АВ;531;"AMOUNT:     137598; AVGDIST:        132";"AMOUNT:      12768; AVGDIST:         60"
77;Уфа (Мега) - Туймазы;590;"AMOUNT:      48138; AVGDIST:        169";"AMOUNT:       3855; AVGDIST:         65"
155;Уфа (Мега) - Туймазы через Кандры;595;"AMOUNT:      21651; AVGDIST:        163";"AMOUNT:       1363; AVGDIST:         66"
62;Уфа (Мега) - Федоровка;571;"AMOUNT:     322272; AVGDIST:        111";"AMOUNT:      81108; AVGDIST:         87"
21;Уфа (Мега) - Чишмы;151;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:      31502; AVGDIST:         15"
365;Уфа (Мега) - Чишмы;151;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
6;Уфа (Северный автовокзал) - В.Изяк;105;"AMOUNT:        229; AVGDIST:         36";"AMOUNT:          0; AVGDIST:          0"
18;Уфа (Северный автовокзал) - Тикеево;139;"AMOUNT:       9505; AVGDIST:         39";"AMOUNT:         60; AVGDIST:         20"
73;Уфа (Южный автовокзал) - Агидель;586;"AMOUNT:      56841; AVGDIST:        161";"AMOUNT:      31709; AVGDIST:         52"
60;Уфа (Южный автовокзал) - Аскино ч/з Благовещенск;567;"AMOUNT:      83608; AVGDIST:        116";"AMOUNT:      20434; AVGDIST:         65"
61;Уфа (Южный автовокзал) - Аскино ч/з Зап. развилку;567;"AMOUNT:      35328; AVGDIST:        105";"AMOUNT:      15964; AVGDIST:         48"
51;Уфа (Южный автовокзал) - Бирск;534;"AMOUNT:      52956; AVGDIST:         97";"AMOUNT:       5399; AVGDIST:         48"
147;Уфа (Южный автовокзал) - Бирск;534;"AMOUNT:     177666; AVGDIST:         92";"AMOUNT:       1728; AVGDIST:         32"
134;Уфа (Южный автовокзал) - Бураево ч/з Зап. развилку;594;"AMOUNT:      19392; AVGDIST:        108";"AMOUNT:       6365; AVGDIST:         49"
53;Уфа (Южный автовокзал) - В. Татышлы;547;"AMOUNT:      43458; AVGDIST:        152";"AMOUNT:       6048; AVGDIST:         61"
52;Уфа (Южный автовокзал) - Дюртюли;536;"AMOUNT:      48033; AVGDIST:        125";"AMOUNT:      12692; AVGDIST:         54"
145;Уфа (Южный автовокзал) - Калтасы;564;"AMOUNT:       3063; AVGDIST:        130";"AMOUNT:       1013; AVGDIST:         82"
65;Уфа (Южный автовокзал) - Караидель ч/з Благовещенск;577;"AMOUNT:     121385; AVGDIST:        118";"AMOUNT:      86470; AVGDIST:         48"
156;Уфа (Южный автовокзал) - Караидель ч/з Зап. развилку;577;"AMOUNT:      94272; AVGDIST:        107";"AMOUNT:      29181; AVGDIST:         50"
344;Уфа (Южный автовокзал) - Кармасан;111;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:       1278; AVGDIST:         26"
57;Уфа (Южный автовокзал) - Красный Холм;554;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
39;Уфа (Южный автовокзал) - Кушнаренково;258;"AMOUNT:      97367; AVGDIST:         61";"AMOUNT:      47506; AVGDIST:         50"
58;Уфа (Южный автовокзал) - Мишкино ч/з Зап. развилку;557;"AMOUNT:      59764; AVGDIST:        103";"AMOUNT:      14960; AVGDIST:         33"
74;Уфа (Южный автовокзал) - Нефтекамск АВ;588;"AMOUNT:     399120; AVGDIST:        184";"AMOUNT:     239468; AVGDIST:         81"
75;Уфа (Южный автовокзал) - Нефтекамск АВ;588;"AMOUNT:      39060; AVGDIST:        110";"AMOUNT:        342; AVGDIST:        110"
76;Уфа (Южный автовокзал) - Нефтекамск АВ;588;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
111;Уфа (Южный автовокзал) - Шаран ч/з Чекмагуш;809;"AMOUNT:      66954; AVGDIST:        161";"AMOUNT:       9536; AVGDIST:         54"
69;Уфа (Южный автовокзал) - Янаул ч/з Благовещенск;NULL;"AMOUNT:     253032; AVGDIST:        106";"AMOUNT:      98181; AVGDIST:         83"
70;Уфа (Южный автовокзал) - Янаул ч/з зап. Развилку;584;"AMOUNT:     188448; AVGDIST:        111";"AMOUNT:     119399; AVGDIST:         91"
72;Уфа (Южный автовокзал) - Янаул ч/з Кр. Холм;584;"AMOUNT:       8667; AVGDIST:        112";"AMOUNT:       3340; AVGDIST:         96"
78;Уфа Мега) - Кумертау;591;"AMOUNT:      11404; AVGDIST:        212";"AMOUNT:       2206; AVGDIST:         33"
