"Стерлитамак - Сады ""Майские""";109;52
"Уфа - с/х ""Шемяк""";109;166
Агидель-Нефтекамск;120;13281
Аскарово- Белорецк;924;149
Аскарово- Сибай;844;134
Баймак - Акъяр ч/з Юлдыбаево;939;200
Бакалы - Октябрьский;618;1000
Бакалы - Туймазы;629;123
Белебей - Туймазы;633;122
Белебей - Уфа;530Р;104
Белебей-М.Москва;132;34
Белебей-Приютово;101;6539
Белебей-Суккулово;117;252
Белорецк- Миндяк;109;209
Бижбуляк - Белебей;645;263
Бижбуляк - Уфа ч/з Аксеново;560;228
Бирск - Уфа ч/з Зап. развилку;535;744
Бирск-Баймурзино;127;225
Бирск-Мишкино;120;247
В. Яркеево-Дюртюли;110;180
Верхнеяркеево - Нефтекамск;762;153
Верхнеяркеево - Туймазы;917;88
Дюртюли - Уфа;536;407
Дюртюли- Базитамак;107;456
Дюртюли-Бирск (переправа);115;382
Исянгулово - Уфа;611;347
Ишимбай - Стерлитамак;102;7589
Караидель - Бирск;653;22
Кумертау-Ермолаево;102;3553
Кумертау-Кинзебаево;105;253
Кумертау-Мелеуз;101;2576
Кумертау-Михайловка;110;229
Кумертау-Мраково;118;53
Кутлугуза-Стерлитамак;116;47
Мелеуз - Уфа;581;87
Мелеуз-Мраково;225;229
Мелеуз-Федоровка;229;896
Мелеуз-Юмагузино;241;266
Нефтекамск - Амзя - 9 км;116-2;12780
Нефтекамск - Бирск;671;726
Нефтекамск - В. Татышлы - Ст. Балтачево;675;19
Нефтекамск - Карманово;112 э;580
Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;516
Нефтекамск АВ - Уфа (Южный автовокзал);588;2883
Нефтекамск-Амзя;116;1502
Нефтекамск-Калтасы;113;2448
Нефтекамск-Кармановская ГРЭС;112;6767
Нефтекамск-Карякино;132;169
Нефтекамск-Красный Холм;115;868
Нефтекамск-Куяново;102;294
Нефтекамск-Саузбашево;110;145
Нефтекамск-Янаул;114;6990
Октябрьский - Белебей;619;353
Октябрьский - Ермекеево;621;293
Октябрьский - Нефтекамск;626;231
Октябрьский - Стерлитамак через Туймазы;822;751
Октябрьский - Туймазы ч/з Нарышево;106;18315
Октябрьский - Уфа экспресс;600;616
Октябрьский- Серафимовский;12;252
Октябрьский-Туймазы;106;6766
Октябрьский-Шахово;113;144
Петровск (Петровское)-Стерлитамак;116;103
Петровск-Макарово-Стерлитамак;103;413
Приютово - Октябрьский;717;794
Приютово - Стерлитамак;623;182
Русский Юрмаш - Уфа (Южный автовокзал);130;138
Саит-Баба-Уфа;741;178
Салават АВ- Стерлитамак АВ;101;17202
Салават-Ишимбай;101 и;8454
Салават-Мелеуз;102;9448
Салават-Сухаревка;106;266
сан. Красноусольск - Уфа;552С;662
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;1606
Семилетка-В.Яркеево;105;188
Сибай - Акъяр ч/з Подольск;750;284
Сибай - Стерлитамак;918;222
Сибай-Баймак;113;3741
Сибай-Кусеево;114;614
Стерлитамак - Золотоношка;281;589
Стерлитамак - Кармаскалы;122;332
Стерлитамак - Максимовка - Алга;298;1014
Стерлитамак - Мебельный;106;1361
Стерлитамак - Наумкино;290;376
Стерлитамак - с/х Рощинский;111;6097
Стерлитамак - Семенкино;115;117
Стерлитамак - Шеверли;117;762
Стерлитамак - Янгискаин;119;477
Стерлитамак (кол. Рынок) - Наумовка;109;3893
Стерлитамак АВ - Талачево;113;913
Стерлитамак АВ - Янгискаин;119 Т;79
Стерлитамак АВ-д. Северная;210;35
Стерлитамак АВ-Зилим-Караново;190;29
Стерлитамак АВ-Кабакуш;201;43
Стерлитамак АВ-Коварды;220;29
Стерлитамак АВ-Красноармейский;250;10
Стерлитамак АВ-Месели-Манеево;116;143
Стерлитамак АВ-Мраково;205;148
Стерлитамак АВ-Саитбаба;240;37
Стерлитамак АВ-Салихово ч/з Канакаево;500;14
Стерлитамак АВ-сан. Красноусольский;282;464
Стерлитамак АВ-Стерлибашево АС;149;310
Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;680;50
Стерлитамак АВ-Стерлибашево АС- Янгурча;170;221
Стерлитамак АВ-Юмагузино;225;43
Стерлитамак-Белое озеро-Антоновка;145;12
Стерлитамак-Красноусольск АС;282;140
Туймазы - НижнеЗаитово;108;1131
Туймазы - Уфа;590;795
Туймазы - Уфа через Кандры;595;354
Туймазы - Якшаево;1;269
Туймазы- Октябрьский- Серафимовский;2;2549
Уфа - Агидель;586;639
Уфа - Акъяр;578;377
Уфа - Архангельское ч/з Булгаково;582;535
Уфа - Архангельское ч/з Кабаково;604;363
Уфа - Аскино ч/з Благовещенск;567;518
Уфа - Аскино ч/з Зап. развилку;567;190
Уфа - Белебей;530;244
Уфа - Бирск ч/з Благовещенск;534;261
Уфа - Бураево ч/з Зап. развилку;594;51
Уфа - В. Татышлы;547;627
Уфа - Валентиновка;592;220
Уфа - Кандры;737;115
Уфа - Караидель ч/з Благовещенск;577;944
Уфа - Караидель ч/з Зап. развилку;577;452
Уфа - Кумертау;591;571
Уфа - Кумлекулево;113;397
Уфа - Кушнаренково;258;4918
Уфа - Лесхоз;108;7477
Уфа - Мишкино ч/з Зап. развилку;557;397
Уфа - Мраково;601;233
Уфа - Нефтекамск б/з в Дюртюли;588;58
Уфа - Октябрьский через Серафимовку;600 С;91
Уфа - Октябрьский через Туймазы;600 Т;874
Уфа - Сибай;798;723
Уфа - Учалы;593;195
Уфа - Федоровка;571;325
Уфа - Янаул;584;326
Уфа - Янаул ч/з зап. Развилку;584;1147
Уфа - Янаул ч/з Кр. Холм;584;49
Уфа (ул. Дзержинского) - Аэропорт;101;17365
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;1670
Уфа (Южный автовокзал) - сан. Алкино;127;177
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;2028
Уфа (Южный автовокзал) - Шипово;124;1298
Уфа (Южный автовокзал)-Енгалышево;142;727
Уфа -Стерлитамак;531;251
Уфа Южный АВ - Мусино;120;172
Учалы - Стерлитамак;828;305
Федоровка АС- Салават АВ;500;560
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;508
Чекмагуш-Дюртюли;202;1132
Чишмы-Уфа;151;977
Шаран - Уфа ч/з Чекмагуш;809;432
Шаран-Туймазы;119;4732
Янаул - Бирск;770;38
Янаул - Октябрьский;744;511
Янаул - Чургулды;110 Я;262
Янаул-Калтасы;102;221
Янаул-Кармановская ГРЭС;118;542
Янаул-Кр. Холм;109;284
Белебей - Стерлитамак через Киргиз Мияки;800К;300
Белорецк - Учалы;805;268
Бирск-Каргино;123;75
Благовещенск-Уфа (Гимназия им.Гарипова);104с;503
Дюртюли - Нефтекамск;674;17
Зилаир - Сибай ч/з Юлдыбаево;792;87
Калтасы - Уфа;564;58
Кумертау-Тимербаево;109;22
Мелеуз-В.Биккузино;242;112
Нефтекамск-Калегино;121;73
Нефтекамск-Н. Березовка;101;34968
Нефтекамск-Н. Буртюк;105;13
сан. Красноусольск - Салават;698;25
Сибай- Старый Сибай;11;11228
Стерлитамак - Утяково;154;50
Стерлитамак АВ-Наумкино - Толбазы АС;510;6
Стерлитамак АВ-Стерлибашево АС - Булаж;185;32
Уфа - Салават через Ишимбай;551И;59
Уфа (К.Рынок)-В.Изяк;105;233
Уфа (К.Рынок)-Иглино;165;4147
Уфа (К.Рынок)-Ст.Черкассы;111;1311
Уфа (Южный автовокзал) - Нижегородка;164;1591
Уфа (Южный автовокзал) - Таптыково;164 Т;1467
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;5064
Уфа южный АВ - Бузовьязы;129;80
